Country Name,Country Code,Series Name,Series Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,96.62253,96.32775,..,..,..,..,..,..,..,..,..,..,..,95.45755,..,..,..,96.1759,..,..,..,..,..,100,99.7343,99.62729,99.35688,99.43632,99.45558,99.42561,99.13676,99.34854,99.52115,99.65259,99.52275,99.51247,99.13102,99.21521,99.26778,99.44548,99.7727,99.83682,99.4496,99.48052,..,..,..
Argentina,ARG,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.2,..,..,..,10.3,..,..,..,..,..,..,9.3,..,..,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,6.60795607029843,5.75821258489363,10.7846121766334,11.1975040344567,12.3181273078891,6.78138364757415,7.99563237618312,8.81442681205338,7.20910487562917,7.55390082743601,14.8975827715885,12.0923921748084,18.0914238743264,16.1787032822536,14.5027163053723,14.8877375026292,24.9548218563965,21.0853834794979,39.2177912910872,15.7816083413167,9.76959364477237,6.54391572691055,7.07088724886446,4.16077454940957,5.69346524216497,5.88808404196587,6.20179642763241,6.30529464547794,7.36604790440282,7.07403180206102,12.8156283989293,43.3362233668181,39.0038134178572,31.6984367177151,23.9786389112699,15.9557252995226,12.3741566653207,9.32001507908229,12.6593658482426,12.0210057469073,11.6494690710681,14.2100130470819,16.2751451343407,19.3800813864849,24.8131643599889,22.9297614377796,21.7015246761769,..,..,..
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.5,17.3,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5,..
Argentina,ARG,Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.3,29.3,29.3,29.3,29.3,29.3,29.9,..
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.80769230769231,1.82380952380952,1.84857142857143,1.65918367346939,2.04195804195804,3.78129117259552,4.00860009555662,4.71914405808177,4.67335625570135,3.09895833333333,3.46534653465347,2.70455793520044,2.73881278538813,2.16203914428767,2.29971724787936,2.31367874921125,2.2843868799904,2.12493922313663,1.88036559239223,1.45090921225786,1.50692655529635,1.42122223348777,1.42280290057293,1.45703853325047,1.47307310721151,1.24122726437626,1.14013911131295,1.13631802186333,1.22035954754993,1.14882267666887,1.18423354187058,1.09188047859748,1.06089505704838,0.883295358833529,0.847154783885961,0.788233877461469,0.792548175031362,0.762756475390461,0.886508576686385,0.814878105497939,0.764287094036749,0.784824721019786,0.837736430159436,0.878100919364039,0.850128583186764,0.813140077928875,0.856137916373543,0.745498854953045,0.706186670516138,0.761486737293151
Argentina,ARG,"Preprimary education, duration (years)",SE.PRE.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Argentina,ARG,Primary school starting age (years),SE.PRM.AGES,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Argentina,ARG,Procedures to register property (number),IC.PRP.PROC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,..
